k,Method,Max_Error,RMSE
1,Adams_Start,0.553740533757774,0.21645285883964
1,Adams_NoStart,0.553740533757774,0.21645285883964
1,Adams_NewApp,1.07042954288524,0.78887130426258
1,ddends,0.000720550944311782,0.000251827019468238
2,Adams_Start,0.125788870025246,0.0521549002372029
2,Adams_NoStart,0.557522567678062,0.259302471095836
2,Adams_NewApp,0.845749995846831,0.599070029580561
2,ddends,0.000720550944311782,0.000251827019468238
3,Adams_Start,0.0381248733473996,0.0240956201733773
3,Adams_NoStart,0.11501975658773,0.0669939789271074
3,Adams_NewApp,0.845749995846832,0.620637961433896
3,ddends,0.000720550944311782,0.000251827019468238
4,Adams_Start,0.0546111472189279,0.0309910211999364
4,Adams_NoStart,0.0710063541719356,0.034499316528007
4,Adams_NewApp,0.862025191578852,0.633038566455117
4,ddends,0.000720550944311782,0.000251827019468238
5,Adams_Start,0.0788325330936299,0.0403032808790574
5,Adams_NoStart,0.10441224394238,0.0565459643769335
5,Adams_NewApp,0.949177969356632,0.638676230076939
5,ddends,0.000720550944311782,0.000251827019468238
6,Adams_Start,0.109266032582932,0.0574518195390055
6,Adams_NoStart,0.137857282426133,0.0843913407095773
6,Adams_NewApp,1.0316432471344,0.643509954273436
6,ddends,0.000720550944311782,0.000251827019468238
7,Adams_Start,0.188007953939304,0.0836509505411265
7,Adams_NoStart,0.391119342527117,0.196183001271722
7,Adams_NewApp,1.11054122993863,0.662783469360453
7,ddends,0.000720550944311782,0.000251827019468238
8,Adams_Start,1.02775933329107,0.360759573575783
8,Adams_NoStart,1.55994738506603,0.624025547528824
8,Adams_NewApp,1.18659736419786,0.731168545376175
8,ddends,0.000720550944311782,0.000251827019468238
9,Adams_Start,0.553740533757774,0.21645285883964
9,Adams_NoStart,4.99048155746393,1.80665903253235
9,Adams_NewApp,1.62281533553147,0.899435991354067
9,ddends,0.000720550944311782,0.000251827019468238
10,Adams_Start,0.553740533757774,0.21645285883964
10,Adams_NoStart,12.7589655932284,4.44030288466975
10,Adams_NewApp,2.74381317314324,1.20914140292157
10,ddends,0.000720550944311782,0.000251827019468238
11,Adams_Start,0.553740533757774,0.21645285883964
11,Adams_NoStart,27.5825523474492,9.46752499025762
11,Adams_NewApp,4.26734410380643,1.68009036253061
11,ddends,0.000720550944311782,0.000251827019468238
12,Adams_Start,0.553740533757774,0.21645285883964
12,Adams_NoStart,52.5170250208587,18.0071158523909
12,Adams_NewApp,6.24719847090784,2.32234202623762
12,ddends,0.000720550944311782,0.000251827019468238
