Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.25,0.321006354171935,0.3125,0.25,0.75,0.321006144604106,0.00850635417193535,0.0710063541719353,0.428993645828065,2.09567829811963e-07
0.5,0.662180317675032,0.6484375,0.5625,1.375,0.662177653488719,0.013742817675032,0.099680317675032,0.712819682324968,2.66418631322818e-06
0.75,1.02925000415317,1.0087890625,0.8984375,1.875,1.02924469589222,0.0204609416531687,0.130812504153169,0.845749995846831,5.30826094857773e-06
1,1.42957045711476,1.3997802734375,1.2587890625,2.25,1.42956834169283,0.0297901836772612,0.170781394614761,0.820429542885239,2.11542193051528e-06
1.25,1.78780620163238,1.82984924316406,1.6497802734375,2.5,1.78792207731435,0.0420430415316875,0.138025928194875,0.712193798367625,0.000115875681977684
1.5,2.33589147508781,2.3098201751709,2.07984924316406,3,2.33601641922718,0.0260712999169153,0.256042231923751,0.664108524912186,0.000124944139369809
1.75,3.13260381710343,3.06445908546448,2.7473201751709,3.578125,3.13275375028912,0.0681447316389558,0.385283641932535,0.445521182896567,0.000149933185690898
2,4.25479415314254,4.12900528311729,3.69727158546448,4.203125,4.25551470408685,0.125788870025246,0.557522567678062,0.0516691531425399,0.000720550944311782
