Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.1,0.126292729518912,0.125,0.125,0.325,0.126292722890271,0.00129272951891191,0.00129272951891191,0.198707270481088,6.62864055311907e-09
0.2,0.255350689540042,0.2525,0.2525,0.63,0.255350552737401,0.00285068954004242,0.00285068954004242,0.374649310459958,1.36802641104161e-07
0.3,0.387464701894001,0.38275,0.38275,0.915,0.387463282699131,0.00471470189400069,0.00471470189400069,0.527535298105999,1.41919486951192e-06
0.4,0.522956174410318,0.516025,0.516025,1.18,0.522954877491234,0.00693117441031743,0.00693117441031743,0.657043825589683,1.29691908357099e-06
0.5,0.662180317675032,0.6526275,0.6526275,1.425,0.662177653488719,0.0095528176750318,0.0095528176750318,0.762819682324968,2.66418631322818e-06
0.6,0.805529700097627,0.79289025,0.79289025,1.65,0.805527087367793,0.012639450097627,0.012639450097627,0.844470299902373,2.61272983403948e-06
0.7,0.953438176867619,0.937179275,0.937179275,1.855,0.953433785971121,0.0162589018676188,0.0162589018676188,0.901561823132381,4.39089649795221e-06
0.8,1.10638523212312,1.0858972025,1.0858972025,2.04,1.10638078451102,0.0204880296231167,0.0204880296231167,0.933614767876883,4.44761209461575e-06
0.9,1.26490077778924,1.23948692275,1.23948692275,2.205,1.26489634967902,0.0254138550392369,0.0254138550392369,0.940099222210763,4.42811022183243e-06
1,1.42957045711476,1.398435615025,1.398435615025,2.35,1.42956834169283,0.0311348420897606,0.0311348420897606,0.920429542885239,2.11542193051528e-06
1.1,1.55322710829509,1.5632791765275,1.5632791765275,2.475,1.55332769073841,0.0100520682324146,0.0100520682324146,0.921772891704914,0.000100582443319119
1.2,1.70258528181536,1.70085709418025,1.70085709418025,2.6225,1.70269464450435,0.00172818763510474,0.00172818763510474,0.919914718184645,0.000109362688995862
1.3,1.88057723430096,1.86431780359828,1.86431780359828,2.7905,1.88068690561388,0.0162594307026886,0.0162594307026886,0.909922765699036,0.000109671312918502
1.4,2.09046771608585,2.0564620839581,2.0564620839581,2.977,2.09058891439961,0.034005632127748,0.034005632127748,0.886532283914149,0.000121198313755233
1.5,2.33589147508781,2.28039204235391,2.28039204235391,3.18,2.33601641922718,0.0554994327339,0.0554994327339,0.844108524912187,0.000124944139369809
1.6,2.62089497163085,2.53954337158931,2.53954337158931,3.3975,2.62103295664164,0.081351600041542,0.081351600041542,0.776605028369154,0.000137985010788544
1.7,2.9499827751254,2.83772104624824,2.83772104624824,3.6275,2.95012955485576,0.11226172887716,0.11226172887716,0.677517224874606,0.000146779730360258
1.8,3.32816916599269,3.17913882212306,3.17913882212306,3.868,3.32833711917817,0.149030343869633,0.149030343869633,0.539830834007309,0.000167953185474801
1.9,3.76103552452374,3.56846294271037,3.56846294271037,4.117,3.76121966686167,0.192572581813374,0.192572581813374,0.355964475476262,0.000184142337932069
2,4.25479415314254,4.0108604991939,4.0108604991939,4.3725,4.25551470408685,0.243933653948639,0.243933653948639,0.117705846857461,0.000720550944311782
