Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.1,0.126292729518912,0.125,0.115,0.314999999999999,0.126292722890271,0.00129272951891191,0.011292729518912,0.188707270481087,6.62864055311907e-09
0.2,0.255350689540042,0.2525,0.280643212632275,0.609999999999998,0.255350552737401,0.00285068954004242,0.0252925230922321,0.354649310459956,1.36802641104161e-07
0.3,0.387464701894001,0.38275,0.354563483560678,0.884999999999999,0.387463282699131,0.00471470189400069,0.0329012183333228,0.497535298105998,1.41919486951192e-06
0.4,0.522956174410318,0.516025,0.519984455327868,1.14,0.522954877491234,0.00693117441031743,0.00297171908244998,0.617043825589681,1.29691908357099e-06
0.5,0.662180317675032,0.6526275,0.689217486977685,1.375,0.662177653488719,0.0095528176750318,0.0270371693026534,0.712819682324966,2.66418631322818e-06
0.6,0.805529700097627,0.79289025,0.775944342937201,1.59,0.805527087367793,0.012639450097627,0.0295853571604267,0.78447029990237,2.61272983403948e-06
0.7,0.953438176867619,0.939358554191882,0.947647896072161,1.785,0.953433785971121,0.0140796226757373,0.00579028079545851,0.831561823132378,4.39089649795221e-06
0.8,1.10638523212312,1.09118974128359,1.12736714998993,1.96,1.10638078451102,0.0151954908395271,0.0209819178668131,0.85361476787688,4.44761209461575e-06
0.9,1.26490077778924,1.24754365980622,1.23789030999056,2.115,1.26489634967902,0.0173571179830156,0.0270104677986747,0.850099222210759,4.42811022183243e-06
1,1.42957045711476,1.4106683397684,1.42290386853,2.25,1.42956834169283,0.0189021173463606,0.0066665885847621,0.820429542885235,2.11542193051528e-06
1.1,1.55322710829509,1.58045764504034,1.61720530183255,2.365,1.55332769073841,0.0272305367452539,0.0639781935374655,0.811772891704909,0.000100582443319119
1.2,1.70258528181536,1.64584244442378,1.64861584271863,2.59635782903439,1.70269464450435,0.0567428373915777,0.05396943909673,0.893772547219032,0.000109362688995862
1.3,1.88057723430096,2.00587997935122,1.99644417566497,2.63058317625661,1.88068690561388,0.125302745050255,0.115866941364001,0.750005941955644,0.000109671312918502
1.4,2.09046771608585,2.03046238644278,2.13475794139371,2.9600275214947,2.09058891439961,0.0600053296430705,0.0442902253078548,0.869559805408852,0.000121198313755233
1.5,2.33589147508781,2.30089038398081,2.21548570194034,3.09731341765872,2.33601641922718,0.0350010911070044,0.12040577314747,0.76142194257091,0.000124944139369809
1.6,2.62089497163085,2.75024969705867,2.82691318736354,3.32945833333333,2.62103295664164,0.129354725427819,0.206018215732688,0.70856336170248,0.000137985010788544
1.7,2.9499827751254,2.90783071511682,3.00511751651114,3.55837499999999,2.95012955485576,0.0421520600085712,0.0551347413857495,0.608392224874596,0.000146779730360258
1.8,3.32816916599269,3.3004953846446,3.17017877721142,3.79579166666666,3.32833711917817,0.0276737813480872,0.15799038878127,0.467622500673966,0.000167953185474801
1.9,3.76103552452374,3.87729213981655,4.02969257067973,4.03970833333333,3.76121966686167,0.116256615292811,0.26865704615599,0.278672808809586,0.000184142337932069
2,4.25479415314254,4.22476751639551,4.32148096240202,4.28812499999999,4.25551470408685,0.0300266367470288,0.0666868092594788,0.0333308468574511,0.000720550944311782
