Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.1,0.126292729518912,0.125,0.114999999999999,0.115660589410589,0.126292722890271,0.00129272951891191,0.0112927295189127,0.0106321401083231,6.62864055311907e-09
0.2,0.255350689540042,0.2525,0.27385798611111,0.258594773277035,0.255350552737401,0.00285068954004242,0.0185072965710676,0.00324408373699225,1.36802641104161e-07
0.3,0.387464701894001,0.38275,0.371305597680361,0.392004569967138,0.387463282699131,0.00471470189400069,0.0161591042136394,0.00453986807313722,1.41919486951192e-06
0.4,0.522956174410318,0.516025,0.514008876660957,0.52581753516289,0.522954877491234,0.00693117441031743,0.00894729774936109,0.00286136075257193,1.29691908357099e-06
0.5,0.662180317675032,0.6526275,0.670636802523353,0.664214883402637,0.662177653488719,0.0095528176750318,0.00845648484832107,0.00203456572760452,2.66418631322818e-06
0.6,0.805529700097627,0.794871405729167,0.79858355030211,0.80735200225465,0.805527087367793,0.0106582943684606,0.00694614979551689,0.00182230215702295,2.61272983403948e-06
0.7,0.953438176867619,0.941928132798864,0.945833497472225,0.955391126209628,0.953433785971121,0.011510044068755,0.00760467939539433,0.00195294934200918,4.39089649795221e-06
0.8,1.10638523212312,1.09336368706196,1.10690126425592,1.10883706723189,1.10638078451102,0.0130215450611588,0.000516032132799271,0.00245183510877056,4.44761209461575e-06
0.9,1.26490077778924,1.25056844021384,1.25939882677715,1.26828566968127,1.26489634967902,0.014332337575395,0.00550195101208861,0.00338489189202962,4.42811022183243e-06
1,1.42957045711476,1.41388880627561,1.42238390674485,1.43437636764951,1.42956834169283,0.0156816508391471,0.00718655036990978,0.00480591053474422,2.11542193051528e-06
1.1,1.55322710829509,1.58358050457393,1.59729272708257,1.60781136342395,1.55332769073841,0.03035339627884,0.0440656187874884,0.0545842551288687,0.000100582443319119
1.2,1.70258528181536,1.66048429681826,1.67796843880317,1.71474559170042,1.70269464450435,0.0421009849970981,0.0246168430121818,0.0121603098850636,0.000109362688995862
1.3,1.88057723430096,1.96721869278443,1.96114672848807,1.91788801318095,1.88068690561388,0.0866414584834607,0.0805694941871069,0.0373107788799878,0.000109671312918502
1.4,2.09046771608585,2.08467371916958,2.13643383835257,2.14412017391436,2.09058891439961,0.00579399691627147,0.045966122266718,0.0536524578285098,0.000121198313755233
1.5,2.33589147508781,2.32155286649388,2.3050407503225,2.39210838855426,2.33601641922718,0.0143386085939294,0.0308507247653105,0.0562169134664465,0.000124944139369809
1.6,2.62089497163085,2.67522710806586,2.70009501173793,2.68005185162745,2.62103295664164,0.0543321364350176,0.0792000401070858,0.0591568799965989,0.000137985010788544
1.7,2.9499827751254,2.97009529616272,3.01739969677687,3.01443164905814,2.95012955485576,0.0201125210373245,0.0674169216514708,0.0644488739327471,0.000146779730360258
1.8,3.32816916599269,3.33683539726709,3.33107378063536,3.39889864406451,3.32833711917817,0.00866623127439325,0.00290461464266434,0.0707294780718146,0.000167953185474801
1.9,3.76103552452374,3.80101864949098,3.83480805037088,3.83880271548878,3.76121966686167,0.0399831249672449,0.0737725258471378,0.0777671909650386,0.000184142337932069
2,4.25479415314254,4.28514590711517,4.33605787911726,4.34062884189878,4.25551470408685,0.0303517539726341,0.0812637259747202,0.085834688756238,0.000720550944311782
