Time,Exact,Adams_S,Adams_WS,Adams_WSNA,ddends,Err_S,Err_WS,Err_WSNA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.01,0.012512541771042,0.0125,0.0124,0.0123999505921181,0.0125125417693536,1.25417710419937e-05,0.000112541771041998,0.000112591178923925,1.68839421610389e-12
0.02,0.0250503350066889,0.025025,0.0251133333333333,0.024939591368776,0.0250503349795533,2.53350066889285e-05,6.29983266443937e-05,0.000110743637912913,2.71356062619965e-11
0.03,0.0376136334883792,0.03757525,0.0375965138888889,0.0375052946847043,0.0376136334785576,3.83834883792289e-05,1.71195994903492e-05,0.000108338803674966,9.82165737628549e-12
0.04,0.0502026935480971,0.0501638598958333,0.0501818978877315,0.050096733959117,0.0502026931002962,3.88336522637242e-05,2.07956603655857e-05,0.000105959588980034,4.47800893588202e-10
0.05,0.062817774094006,0.0627786505392795,0.0627983159701123,0.0627141648004985,0.0628177737371214,3.9123554726489e-05,1.94581238937286e-05,0.000103609293507528,3.56884646834921e-10
0.06,0.0754591366363399,0.0754195744125321,0.0754392436438077,0.0753578483811004,0.0754591364629211,3.95622238077986e-05,1.98929925321611e-05,0.000101288255239543,1.73418848725682e-10
0.07,0.0881270453135541,0.0880870834862894,0.0881069183750656,0.0880280485130011,0.0881270416837594,3.99618272646923e-05,2.01269384885738e-05,9.89968005530029e-05,3.62979471479896e-09
0.08,0.10082176691874,0.10078140433308,0.100801445769044,0.100725031659389,0.100821759218445,4.03625856597312e-05,2.03211496955374e-05,9.67352593508192e-05,7.7002944853799e-09
0.09,0.113543570926303,0.113502802546013,0.113523045145818,0.113449066961124,0.113543561982206,4.07683802898795e-05,2.05257804841152e-05,9.45039651784468e-05,8.94409613039215e-09
0.1,0.126292729518912,0.126251551380871,0.126271997216539,0.126200426263648,0.126292722890271,4.11781380413867e-05,2.0732302372789e-05,9.23032552643532e-05,6.62864055311907e-09
0.11,0.139069517614718,0.139027925624487,0.139048576971283,0.138979384144158,0.139069514857868,4.15919902303774e-05,2.0940643434747e-05,9.01334705600554e-05,2.7568498039976e-09
0.12,0.151874212894844,0.151832202888271,0.151853061786333,0.151786217939063,0.15187420920653,4.20100065730844e-05,2.11511085114191e-05,8.79949557812953e-05,3.68831415409332e-09
0.13,0.164707095831155,0.164664663607099,0.164685732139517,0.164621207771707,0.164707068389308,4.24322240561714e-05,2.1363691638715e-05,8.58880594488409e-05,2.74418469892179e-08
0.14,0.177568449714307,0.177525591029458,0.177546871304212,0.177484636580376,0.177568383696299,4.2858684848962e-05,2.15784100949523e-05,8.38131339305492e-05,6.60180083100759e-08
0.15,0.190458560682071,0.190415271250311,0.190436765395401,0.190376790146588,0.19045845331662,4.3289431759963e-05,2.17952866702065e-05,8.17705354830556e-05,1.07365450696673e-07
0.16,0.203377717747953,0.203333993240101,0.203355703404935,0.203297957123658,0.203377575439393,4.37245078512283e-05,2.20143430171016e-05,7.97606242949056e-05,1.42308559464288e-07
0.17,0.216326212830091,0.216282048873461,0.216303977229078,0.216248429065562,0.216326048253738,4.41639566303165e-05,2.22356010130265e-05,7.77837645289936e-05,1.64576353683943e-07
0.18,0.229304340780453,0.229259732958407,0.229281881697662,0.229228500456086,0.229304169948774,4.46078220453783e-05,2.24590827908322e-05,7.58403243665551e-05,1.70831678636407e-07
0.19,0.242312399414313,0.242267343265828,0.242289714603612,0.242238468738262,0.242312238713622,4.50561484851841e-05,2.26848107012789e-05,7.3930676050854e-05,1.60700691087534e-07
0.2,0.255350689540042,0.255305180559257,0.255327776732723,0.255278634344111,0.255350552737401,4.55089807849807e-05,2.29128073191975e-05,7.20551959317861e-05,1.36802641104161e-07
0.21,0.268419514989186,0.268373548624956,0.268396371893739,0.268349300724675,0.268419410209233,4.59663642302655e-05,2.31430954464873e-05,7.02142645107595e-05,1.04779953047363e-07
0.22,0.281519182646845,0.281472754302283,0.281495806948731,0.281450774380359,0.281519109318236,4.64283445619773e-05,2.33756981143363e-05,6.84082664861863e-05,7.33286091847418e-08
0.23,0.294650002482369,0.294603107514389,0.294626391843784,0.29458336489157,0.294649948253531,4.68949679807706e-05,2.3610638585414e-05,6.66375907995009e-05,5.42288384197676e-08
0.24,0.307812287580351,0.3077649212992,0.307788439639995,0.30774738494967,0.307812204931067,4.73662811513176e-05,2.384794035587e-05,6.49026306810963e-05,8.2649284582903e-08
0.25,0.321006354171935,0.320958511840728,0.320982266544777,0.320943150388237,0.321006144604106,4.78423312075815e-05,2.40876271584423e-05,6.32037836980071e-05,2.09567829811963e-07
0.26,0.334232521666443,0.334184198500686,0.334208191943479,0.334170980214642,0.334232113192624,4.8323165757258e-05,2.43297229641781e-05,6.15414518008728e-05,4.08473819435429e-07
0.27,0.347491112683312,0.347442303850426,0.347466538431327,0.34743119664194,0.347490460996503,4.88088328863268e-05,2.45742519850989e-05,5.99160413718436e-05,6.51686809016727e-07
0.28,0.360782453084359,0.360733153703195,0.360757631845683,0.360724125121086,0.360781538315626,4.92993811641029e-05,2.48212386764757e-05,5.83279632732636e-05,9.14768733484284e-07
0.29,0.374106872006368,0.37405707714672,0.374081801298629,0.374050094373471,0.374105695449874,4.97948596480113e-05,2.50707077393275e-05,5.67776328966318e-05,1.17655649350956e-06
0.3,0.387464701894001,0.387414406576112,0.387439379209877,0.387409436423789,0.387463282699131,5.02953178888599e-05,2.53226841233078e-05,5.52654702122846e-05,1.41919486956743e-06
0.31,0.400856278533044,0.400805477727109,0.400830701340016,0.400802486633225,0.400854650363278,5.08008059350029e-05,2.55771930284254e-05,5.37918998190778e-05,1.62816976617686e-06
0.32,0.414281941083989,0.414230629709651,0.414256106824081,0.414229583732994,0.414280148742198,5.13113743380034e-05,2.58342599081529e-05,5.23573509952358e-05,1.79234179137344e-06
