Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.005,0.0150250417188018,0.015,0.0149750000000005,0.0249750000000005,0.0150250417184444,2.50417188018028e-05,5.00417188013594e-05,0.00994995828119864,3.57443241671973e-13
0.01,0.0301003341683359,0.030075,0.0300498125000004,0.0499,0.0301003341624062,2.53341683358888e-05,5.05216683355549e-05,0.0197996658316641,5.92972199120467e-12
0.015,0.0452261292314378,0.0452005625,0.0451752485937504,0.0747750000000005,0.0452261291695407,2.55667314377345e-05,5.0880637687406e-05,0.0295488707685627,6.18970846799627e-11
0.02,0.0604026800535116,0.06037687921875,0.0603514384269535,0.0996,0.0604026799550919,2.58008347615371e-05,5.12416265580837e-05,0.0391973199464885,9.84196960041039e-11
0.025,0.0756302410488576,0.0756042044066407,0.0755786360936713,0.124375,0.0756302410157193,2.60366422169533e-05,5.16049551863573e-05,0.0487447589511429,3.31383115392825e-11
0.03,0.0909090679070339,0.0908827937416436,0.0908570972683064,0.1491,0.0909090668979451,2.62741653902915e-05,5.19706387274721e-05,0.0581909320929661,1.00908875699801e-09
0.035,0.106239417599246,0.106212904183689,0.106187078907585,0.173775,0.106239415706031,2.651341555715e-05,5.23386916619351e-05,0.067535582400754,1.89321502919171e-09
0.04,0.121621548384776,0.121594793980713,0.121568839256221,0.1984,0.121621546719097,2.67544040635503e-05,5.27091285557751e-05,0.0767784516152236,1.66567984405397e-09
0.045,0.137055719817434,0.137028722675109,0.137002637853373,0.222975000000001,0.137055719216259,2.69971423247639e-05,5.30819640604252e-05,0.0859192801825667,6.01174776626578e-10
0.05,0.152542192752048,0.152514951110221,0.152488735539133,0.2475,0.152542192151507,2.72416418276855e-05,5.34572129151367e-05,0.0949578072479518,6.00541227857576e-10
0.055,0.168081229350989,0.168053741436859,0.168027394461043,0.271975000000001,0.168081222316833,2.74879141290985e-05,5.38348899453422e-05,0.103893770649012,7.03415536928986e-09
0.06,0.183673093090719,0.18364535711986,0.183618878080653,0.2964,0.183673076060825,2.77359708589497e-05,5.4215010066444e-05,0.112726906909281,1.70298939949909e-08
0.065,0.199318048768385,0.199290062944667,0.199263451180106,0.320775000000001,0.19931802233661,2.79858237183517e-05,5.45975882795813e-05,0.121456951231615,2.6431775101976e-08
0.07,0.215016362508433,0.214988125023953,0.214961379868754,0.3451,0.215016330097314,2.82374844804978e-05,5.49826396787911e-05,0.130083637491567,3.24111189553555e-08
0.075,0.230768301769263,0.23073981080427,0.23071293158982,0.369375000000001,0.230768268296064,2.84909649928e-05,5.53701794431261e-05,0.138606698230738,3.34731987683412e-08
0.08,0.246574135349917,0.246545389072742,0.246518375127072,0.3936,0.246574105885987,2.87462771748903e-05,5.57602228457021e-05,0.147025864650083,2.94639304621036e-08
0.085,0.262434133396797,0.262405129963777,0.26237798061155,0.417775000000001,0.262434111820209,2.90034330200917e-05,5.61527852472876e-05,0.155340866603203,2.15765885713814e-08
0.09,0.278348567410421,0.278319304965824,0.278292019528319,0.4419,0.278348555051857,2.92624445970557e-05,5.65478821017984e-05,0.163551432589579,1.23585641720325e-08
0.095,0.294317710252206,0.294288186928158,0.294260764723253,0.465975000000001,0.294317704534057,2.95233240475423e-05,5.6945528953023e-05,0.171657289747795,5.71814839922524e-09
0.1,0.310341836151296,0.310312050067705,0.310284490409856,0.49,0.310341823525945,2.97860835907771e-05,5.73457414392853e-05,0.179658163848705,1.26253507093388e-08
