Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.01,0.012512541771042,0.0125,0.0123999999999994,0.0323999999999667,0.0125125417693536,1.25417710419937e-05,0.000112541771042644,0.0198874582289247,1.68839421610389e-12
0.02,0.0250503350066889,0.025025,0.0255972454017008,0.064599999999996,0.0250503349795533,2.53350066889285e-05,0.000546910395011913,0.0395496649933071,2.71356062619965e-11
0.03,0.0376136334883792,0.03757525,0.0357590125287914,0.096599999999967,0.0376136334785576,3.83834883792289e-05,0.00185462095958785,0.0589863665115878,9.82165737628549e-12
0.04,0.0502026935480971,0.0501510025,0.0536445972196232,0.128399999999989,0.0502026931002962,5.16910480970537e-05,0.00344190367152615,0.0781973064518921,4.47800893588202e-10
0.05,0.062817774094006,0.062752512525,0.0589504344427036,0.15999999999997,0.0628177737371214,6.5261569006006e-05,0.00386733965130245,0.0971822259059643,3.56884646834921e-10
0.06,0.0754591366363399,0.07538003765025,0.0773164606486457,0.191399999999985,0.0754591364629211,7.909898608989e-05,0.00185732401230579,0.115940863363645,1.73418848725682e-10
0.07,0.0881270453135541,0.0880338380267525,0.0897395434805211,0.222599999999967,0.0881270416837594,9.3207286801622e-05,0.00161249816696694,0.134472954686413,3.62979471479896e-09
0.08,0.10082176691874,0.10071417640702,0.0959562415008588,0.253599999999986,0.100821759218445,0.000107590511719657,0.00486552541788092,0.152778233081246,7.7002944853799e-09
0.09,0.113543570926303,0.11342131817109,0.11984120710384,0.284399999999964,0.113543561982206,0.000122252755212382,0.00629763617753691,0.170856429073662,8.94409613039215e-09
0.1,0.126292729518912,0.126155531352801,0.121087037406738,0.31499999999998,0.126292722890271,0.000137198166110825,0.00520569211217375,0.188707270481068,6.62864055311907e-09
0.11,0.139069517614718,0.138930871544279,0.140343182866493,0.345399999999969,0.139069514857868,0.000138646070438869,0.00127366525177489,0.206330482385251,2.7568498039976e-09
0.12,0.151874212894844,0.151734578838833,0.156053847214727,0.375599999999973,0.15187420920653,0.00013963405601064,0.00417963431988316,0.223725787105129,3.68831415409332e-09
0.13,0.164707095831155,0.16456458374287,0.155761539952402,0.40559999999997,0.164707068389308,0.000142512088284974,0.00894555587875384,0.240892904168814,2.74418469892179e-08
0.14,0.177568449714307,0.177427754932798,0.187869708250893,0.43539999999997,0.177568383696299,0.000140694781508743,0.0103012585365863,0.257831550285664,6.60180083100759e-08
0.15,0.190458560682071,0.190311972780475,0.183473560343174,0.464999999999968,0.19045845331662,0.000146587901596162,0.0069850003388966,0.274541439317898,1.07365450696673e-07
0.16,0.203377717747953,0.203233158751758,0.202780728096603,0.494399999999969,0.203377575439393,0.000144558996194782,0.000596989651349938,0.291022282252017,1.42308559464288e-07
0.17,0.216326212830091,0.216180060622906,0.22586510786308,0.523599999999966,0.216326048253738,0.000146152207185168,0.00953889503298885,0.307273787169875,1.64576353683943e-07
0.18,0.229304340780453,0.229152742218115,0.213351611084961,0.552599999999967,0.229304169948774,0.000151598562337651,0.015952729695492,0.323295659219515,1.70831678636407e-07
0.19,0.242312399414313,0.24216612076811,0.258239684858907,0.581399999999964,0.242312238713622,0.00014627864620323,0.0159272854445938,0.339087600585651,1.60700691087534e-07
0.2,0.255350689540042,0.255195896162019,0.247186708975218,0.609999999999965,0.255350552737401,0.000154793378023876,0.00816398056482454,0.354649310459922,1.36802641104161e-07
0.21,0.268419514989186,0.268267125239949,0.26293065748869,0.638399999999963,0.268419410209233,0.000152389749236537,0.00548885750049627,0.369980485010777,1.04779953047363e-07
0.22,0.281519182646845,0.281367056787157,0.301019267144152,0.666599999999964,0.281519109318236,0.000152125859687713,0.019500084497307,0.385080817353118,7.33286091847418e-08
0.23,0.294650002482369,0.294488293589523,0.267391510323249,0.694599999999961,0.294649948253531,0.00016170889284628,0.0272584921591205,0.399949997517592,5.42288384197676e-08
0.24,0.307812287580351,0.307660749449548,0.331141773649176,0.722399999999961,0.307812204931067,0.000151538130803597,0.0233294860688253,0.41458771241961,8.2649284582903e-08
0.25,0.321006354171935,0.320842711432504,0.313869398321034,0.749999999999959,0.321006144604106,0.000163642739431369,0.00713695585090118,0.428993645828024,2.09567829811963e-07
0.26,0.334232521666443,0.334071127776886,0.317846202210557,0.77739999999996,0.334232113192624,0.00016139388955666,0.0163863194558863,0.443167478333517,4.08473819435429e-07
0.27,0.347491112683312,0.34733433124238,0.384680344048501,0.804599999999958,0.347490460996503,0.000156781440932285,0.0371892313651886,0.457108887316647,6.51686809016727e-07
0.28,0.360782453084359,0.36060846076283,0.316156717558356,0.831599999999955,0.360781538315626,0.000173992321528926,0.044625735526003,0.470817546915596,9.14768733484284e-07
0.29,0.374106872006368,0.373950663314454,0.405875960498529,0.858399999999961,0.374105695449874,0.000156208691914239,0.0317690884921608,0.484293127993593,1.17655649350956e-06
0.3,0.387464701894001,0.387292184456158,0.387011817861863,0.884999999999945,0.387463282699131,0.000172517437843134,0.000452884032138001,0.497535298105944,1.41919486956743e-06
0.31,0.400856278533044,0.400683629525136,0.362454065588702,0.911399999999966,0.400854650363278,0.000172649007907977,0.0384022129443422,0.510543721466921,1.62816976617686e-06
0.32,0.414281941083989,0.414122905253294,0.48153833485976,0.937599999999937,0.414280148742198,0.00015903583069482,0.0672563937757703,0.523318058915948,1.79234179137344e-06
0.33,0.427742032115945,0.427552729387331,0.357898430778945,0.963599999999967,0.427740128135772,0.000189302728613949,0.0698436013370001,0.535857967884022,1.9039801729126e-06
0.34,0.441236897640899,0.441076676009994,0.479871933212058,0.989399999999936,0.441234938843884,0.000160221630904511,0.0386350355711591,0.548163102359037,1.95879701497814e-06
0.35,0.454766887148314,0.454586433379211,0.47339446982388,1.01499999999996,0.454764931166414,0.000180453769103417,0.0186275826755658,0.56023311285165,1.95598190028123e-06
0.36,0.468332353640085,0.468144355976856,0.388286442636752,1.04039999999994,0.468330455403246,0.000187997663228745,0.0800459110033328,0.572067646359855,1.89823683893753e-06
