Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.001,0.00300100033341666,0.003,0.00299900000000045,0.00499900000000045,0.00300100033341515,1.00033341665726e-06,2.00033341621287e-06,0.00199799966658379,1.51354623278976e-15
0.002,0.00600400266800061,0.006003,0.00600199850000034,0.009996,0.00600400266797762,1.00266800060443e-06,2.00416800026984e-06,0.0039919973319994,2.29894228653826e-14
0.003,0.00900900900675405,0.0090080045,0.00900700199775034,0.0149910000000004,0.00900900900675379,1.00450675404908e-06,2.00700900371449e-06,0.00598199099324639,2.60208521396521e-16
0.004,0.0120160213546838,0.01201501500675,0.012014011501497,0.019984,0.0120160213543315,1.00634793381849e-06,2.0098531868587e-06,0.00796797864531618,3.52301521289178e-13
0.005,0.0150250417188018,0.0150240335270101,0.0150230290177503,0.0249750000000005,0.0150250417184444,1.00819179167828e-06,2.01270105147297e-06,0.00994995828119864,3.57443241671973e-13
0.006,0.0180360721081299,0.0180350620697973,0.0180340565555262,0.029964,0.0180360721081249,1.0100383325759e-06,2.01555260363404e-06,0.0119279278918702,4.94049245958195e-15
0.007,0.0210491145336971,0.0210481026461385,0.0210470961258506,0.0349510000000005,0.0210491145316001,1.01188755859821e-06,2.01840784643317e-06,0.0139018854663034,2.096989248912e-12
0.008,0.024064171008547,0.0240631572690728,0.0240621497417616,0.039936,0.0240641710030018,1.01373947418437e-06,2.02126678531742e-06,0.015871828991453,5.54520665496661e-12
0.009,0.0270812435477357,0.0270802279536533,0.0270792194183114,0.0449190000000005,0.027081243540535,1.01559408234586e-06,2.02412942430091e-06,0.0178377564522648,7.20062898196261e-12
0.01,0.0301003341683359,0.0300993167169493,0.030098307172568,0.0499,0.0301003341624062,1.01745138664233e-06,2.02699576795293e-06,0.0197996658316641,5.92972199120467e-12
0.011,0.0331214448894388,0.0331204255780479,0.0331194150236176,0.0548790000000005,0.0331214448868215,1.01931139093875e-06,2.0298658211515e-06,0.0217575551105617,2.61730914719038e-12
0.012,0.0361445777321556,0.0361435565580565,0.0361425449925668,0.059856,0.0361445777319872,1.02117409916253e-06,2.03273958883365e-06,0.0237114222678444,1.68379199472213e-13
0.013,0.0391697347196183,0.0391687116801045,0.0391676991025438,0.0648310000000005,0.039169734710593,1.02303951374227e-06,2.03561707443067e-06,0.0256612652803822,9.02528746182796e-12
0.014,0.0421969178769845,0.0421958929693457,0.0421948793787014,0.069804,0.0421969178442408,1.0249076388899e-06,2.03849828317448e-06,0.0276070821230155,3.2743786848588e-11
0.015,0.0452261292314378,0.0452251024529596,0.0452240878482181,0.0747750000000005,0.0452261291695407,1.02677847814425e-06,2.041383219617e-06,0.0295488707685627,6.18970846799627e-11
0.016,0.0482573708121898,0.0482563421601544,0.0482553265403011,0.079744,0.0482573707231862,1.02865203545355e-06,2.04427188871259e-06,0.0314866291878102,8.90036655487592e-11
0.017,0.0512906446504813,0.0512896141221681,0.0512885974861875,0.0847110000000005,0.0512906445418706,1.03052831314232e-06,2.0471642938058e-06,0.0334203553495192,1.08610648252849e-10
0.018,0.0543259527795874,0.0543249203722713,0.0543239027191466,0.089676,0.0543259526622875,1.03240731609555e-06,2.05006044080164e-06,0.0353500472204126,1.17299933655168e-10
0.019,0.0573632972348157,0.0573622629457686,0.0573612442744822,0.0946390000000005,0.0573632971211301,1.03428904706798e-06,2.05296033346791e-06,0.0372757027651848,1.13685630354077e-10
0.02,0.0604026800535116,0.0604016438800012,0.0604006241895344,0.0996,0.0604026799550919,1.03617351041724e-06,2.05586397718227e-06,0.0391973199464885,9.84196960041039e-11
0.021,0.063444103275057,0.0634430652143483,0.0634420445036814,0.104559,0.0634441032008663,1.03806070873846e-06,2.05877137555988e-06,0.0411148967249435,7.41907368873029e-11
0.022,0.0664875689408764,0.0664865289902298,0.0664855072583422,0.109516,0.0664875688951467,1.03995064658358e-06,2.06168253416572e-06,0.0430284310591237,4.57297116840394e-11
0.023,0.0695330790944351,0.069532037251108,0.0695310144969779,0.114471,0.0695330790746265,1.04184332710977e-06,2.0645974571909e-06,0.0449379209055654,1.9808599205362e-11
0.024,0.0725806357812431,0.0725795920424895,0.0725785682650942,0.119424,0.0725806357759991,1.04373875356445e-06,2.06751614889589e-06,0.046843364218757,5.24398580115104e-12
0.025,0.0756302410488576,0.0756291954119277,0.0756281706102433,0.124375,0.0756302410157193,1.04563692993054e-06,2.07043861429057e-06,0.0487447589511429,3.31383115392825e-11
0.026,0.0786818969468841,0.0786808494090243,0.0786798235820262,0.129324,0.0786818968034933,1.04753785976075e-06,2.07336485794074e-06,0.0506421030531159,1.43390771478735e-10
0.027,0.0817356055269787,0.0817345560854319,0.0817335292320941,0.134271000000001,0.08173560521137,1.04944154676045e-06,2.0762948845926e-06,0.0525353944730218,3.15608705836468e-10
