Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.0001,0.000125001250041668,0.000124999999999997,0.00012499000000008,0.000324989999998731,0.000125001250041668,1.25004167024598e-09,1.1250041587977e-08,0.000199988749957064,1.89735380184963e-19
0.0002,0.00025000500033337,0.000250002499999995,0.000250026825154785,0.000649959999999829,0.000250005000333348,2.50033337529385e-09,2.18248214151669e-08,0.000399954999666459,2.13587827979644e-17
0.0003,0.000375011251125074,0.000375007500249992,0.000374986697999502,0.00097490999999903,0.000375011251125084,3.7508750818315e-09,2.45531255720901e-08,0.000599898748873956,1.01915004213637e-17
0.0004,0.000500020002666968,0.000500015001000014,0.000500025531732111,0.00129983999999944,0.000500020002666928,5.00166695365477e-09,5.52906514322826e-09,0.000799819997332469,3.98986399474666e-17
0.0005,0.000625031255208963,0.000625025002500111,0.000625029398422418,0.0016247499999993,0.000625031255208961,6.25270885198578e-09,1.85678654548126e-09,0.000999718744790341,1.73472347597681e-18
0.0006,0.000750045009001332,0.000750038755604723,0.000750043118292447,0.00194963999999948,0.000750045009001323,6.25339660902027e-09,1.89070888557009e-09,0.00119959499099815,8.78203759713259e-18
0.0007,0.00087506126429418,0.000875055010455857,0.000875059395053204,0.00227450999999918,0.000875061264294156,6.25383832296e-09,1.86924097576348e-09,0.001399448735705,2.45029690981724e-17
0.0008,0.00100008002133758,0.00100007376661629,0.00100007814286703,0.00259935999999956,0.0010000800213376,6.25472129970293e-09,1.87847055879015e-09,0.00159927997866197,1.58293517182884e-17
0.0009,0.00112510128038185,0.00112509502520207,0.00112509940392677,0.00292418999999927,0.00112510128038176,6.25517977128828e-09,1.87645507357219e-09,0.00179908871961743,8.28330459778925e-17
0.001,0.0012501250416771,0.00125011878583078,0.00125012316480736,0.00324899999999938,0.00125012504167687,6.25584631905145e-09,1.87686973948664e-09,0.00199887495832228,2.27248775352962e-16
0.0011,0.00137515130547355,0.00137514504900147,0.00137514942840762,0.00357378999999936,0.00137515130547323,6.25647208910354e-09,1.87706593324233e-09,0.00219863869452581,3.20490162186715e-16
0.0012,0.0015001800720216,0.00150017381492392,0.00150017819477082,0.00389855999999936,0.00150018007202117,6.25709767939492e-09,1.8772507836412e-09,0.00239837992797776,4.32379826387219e-16
0.0013,0.00162521134157143,0.00162520508384795,0.00162520946413235,0.00422330999999935,0.00162521134157099,6.25772347785311e-09,1.87743907226201e-09,0.00259809865842793,4.38668198987635e-16
0.0014,0.00175024511437338,0.00175023885602409,0.0017502432367465,0.00454803999999935,0.001750245114373,6.2583492945259e-09,1.8776268851349e-09,0.00279779488562597,3.81639164714898e-16
0.0015,0.00187528139067777,0.00187527513170261,0.00187527951286316,0.00487274999999935,0.00187528139067753,6.25897516692668e-09,1.87781461105478e-09,0.00299746860932157,2.46764414457701e-16
0.0016,0.00200032017073493,0.00200031391113396,0.00200031829273256,0.00519743999999934,0.00200032017073488,6.25960096343331e-09,1.87800236212815e-09,0.00319711982926442,4.9439619065339e-17
0.0017,0.00212536145479539,0.00212535519456822,0.00212535957660516,0.00552210999999934,0.00212536145479536,6.26022716347999e-09,1.87819022834379e-09,0.00339674854520395,2.60208521396521e-17
0.0018,0.0022504052431094,0.00225039898225638,0.00225040336473135,0.00584675999999934,0.00225040524310912,6.26085301961773e-09,1.87837805119134e-09,0.00359635475688993,2.85795692667179e-16
