Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.0001,0.000125001250041668,0.000124999999999997,0.000124999999999997,0.000325000000000053,0.000125001250041668,1.25004167024598e-09,1.25004167024598e-09,0.000199998749958385,1.89735380184963e-19
0.0002,0.00025000500033337,0.000250002499999995,0.000250002499999995,0.000649979999999995,0.000250005000333348,2.50033337529385e-09,2.50033337529385e-09,0.000399974999666625,2.13587827979644e-17
0.0003,0.000375011251125074,0.000375007500249992,0.000375007500249992,0.000974939999999992,0.000375011251125084,3.7508750818315e-09,3.7508750818315e-09,0.000599928748874918,1.01915004213637e-17
0.0004,0.000500020002666968,0.000500015001000014,0.000500015001000014,0.00129987999999999,0.000500020002666928,5.00166695365477e-09,5.00166695365477e-09,0.000799859997333021,3.98986399474666e-17
0.0005,0.000625031255208963,0.000625025002500111,0.000625025002500111,0.00162479999999999,0.000625031255208961,6.25270885198578e-09,6.25270885198578e-09,0.000999768744791023,1.73472347597681e-18
0.0006,0.000750045009001332,0.000750037505000386,0.000750037505000386,0.00194969999999998,0.000750045009001323,7.50400094601429e-09,7.50400094601429e-09,0.00119965499099865,8.78203759713259e-18
0.0007,0.00087506126429418,0.000875052508750884,0.000875052508750884,0.00227457999999998,0.000875061264294156,8.75554329667246e-09,8.75554329667246e-09,0.0013995187357058,2.45029690981724e-17
0.0008,0.00100008002133758,0.00100007001400176,0.00100007001400176,0.00259943999999998,0.0010000800213376,1.00073358289335e-08,1.00073358289335e-08,0.00159935997866239,1.58293517182884e-17
0.0009,0.00112510128038185,0.00112509002100315,0.00112509002100315,0.00292427999999998,0.00112510128038176,1.12593786926341e-08,1.12593786926341e-08,0.00179917871961813,8.28330459778925e-17
0.001,0.0012501250416771,0.00125011253000525,0.00125011253000525,0.00324909999999997,0.00125012504167687,1.25116718459242e-08,1.25116718459242e-08,0.00199897495832288,2.27248775352962e-16
0.0011,0.00137515130547355,0.00137513754125825,0.00137513754125825,0.00357390000000003,0.00137515130547323,1.37642153052835e-08,1.37642153052835e-08,0.00219874869452647,3.20490162186715e-16
0.0012,0.0015001800720216,0.00150016505501237,0.00150016505501237,0.00389868000000002,0.00150018007202117,1.50170092287887e-08,1.50170092287887e-08,0.00239849992797842,4.32379826387219e-16
0.0013,0.00162521134157143,0.00162519507151787,0.00162519507151787,0.00422344000000002,0.00162521134157099,1.62700535548573e-08,1.62700535548573e-08,0.00259822865842859,4.38668198987635e-16
0.0014,0.00175024511437338,0.00175022759102502,0.00175022759102502,0.00454818000000002,0.001750245114373,1.752334836372e-08,1.752334836372e-08,0.00279793488562663,3.81639164714898e-16
0.0015,0.00187528139067777,0.00187526261378412,0.00187526261378412,0.00487290000000001,0.00187528139067753,1.87768936549433e-08,1.87768936549433e-08,0.00299761860932224,2.46764414457701e-16
0.0016,0.00200032017073493,0.00200030014004552,0.00200030014004552,0.00519760000000001,0.00200032017073488,2.00306894031568e-08,2.00306894031568e-08,0.00319727982926509,4.9439619065339e-17
0.0017,0.00212536145479539,0.00212534017005952,0.00212534017005952,0.00552228000000001,0.00212536145479536,2.12847358635818e-08,2.12847358635818e-08,0.00339691854520462,2.60208521396521e-17
0.0018,0.0022504052431094,0.00225038270407653,0.00225038270407653,0.00584694000000001,0.00225040524310912,2.25390328770572e-08,2.25390328770572e-08,0.0035965347568906,2.85795692667179e-16
0.0019,0.0023754515359275,0.00237542774234693,0.00237542774234693,0.00617158,0.00237545153592644,2.37935805650138e-08,2.37935805650138e-08,0.00379612846407251,1.06078340555982e-15
0.002,0.00250050033350008,0.00250047528512116,0.00250047528512116,0.0064962,0.00250050033349797,2.50483789131402e-08,2.50483789131402e-08,0.00399569966649992,2.10682166157383e-15
0.0021,0.00262555163607764,0.00262552533264967,0.00262552533264967,0.0068208,0.00262555163607438,2.6303427965238e-08,2.6303427965238e-08,0.00419524836392236,3.26258117744338e-15
0.0022,0.00275060544391079,0.00275057788518294,0.00275057788518294,0.00714538,0.00275060544390631,2.75587278505442e-08,2.75587278505442e-08,0.00439477455608921,4.47905601497212e-15
0.0023,0.00287566175724999,0.00287563294297145,0.00287563294297145,0.00746993999999999,0.00287566175724442,2.88142785352316e-08,2.88142785352316e-08,0.00459427824275001,5.56629395354058e-15
0.0024,0.00300072057634576,0.00300069050626575,0.00300069050626575,0.00779447999999999,0.00300072057633937,3.00700800153972e-08,3.00700800153972e-08,0.00479375942365423,6.39028760462956e-15
0.0025,0.0031257819014488,0.00312575057531637,0.00312575057531637,0.00811899999999999,0.00312578190144181,3.13261324289514e-08,3.13261324289514e-08,0.00499321809855119,6.98529775688961e-15
0.0026,0.00325084573280959,0.00325081315037393,0.00325081315037393,0.00844349999999998,0.0032508457328024,3.25824356666067e-08,3.25824356666067e-08,0.00519265426719039,7.18869408444789e-15
