Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.0001,0.000125001250041668,0.000124999999999997,0.000124990000000115,0.000324989999983105,0.000125001250041668,1.25004167024598e-09,1.12500415524151e-08,0.000199988749941438,1.89735380184963e-19
0.0002,0.00025000500033337,0.000250002499999995,0.000250053861301004,0.00064996,0.000250005000333348,2.50033337529385e-09,4.8860967633989e-08,0.00039995499966663,2.13587827979644e-17
0.0003,0.000375011251125074,0.000375007500249992,0.000374866123266702,0.000974909999983337,0.000375011251125084,3.7508750818315e-09,1.45127858371303e-07,0.000599898748858264,1.01915004213637e-17
0.0004,0.000500020002666968,0.000500015001000014,0.000500250981506691,0.0012998399999992,0.000500020002666928,5.00166695365477e-09,2.30978839723512e-07,0.000799819997332232,3.98986399474666e-17
0.0005,0.000625031255208963,0.000625025002500111,0.000624799830462464,0.00162474999998538,0.000625031255208961,6.25270885198578e-09,2.314247464991e-07,0.000999718744776413,1.73472347597681e-18
0.0006,0.000750045009001332,0.000750037505000386,0.000750179068902947,0.00194963999999573,0.000750045009001323,7.50400094601429e-09,1.34059901614968e-07,0.0011995949909944,8.78203759713259e-18
0.0007,0.00087506126429418,0.000875052508750884,0.000875015654217952,0.0022745099999895,0.000875061264294156,8.75554329667246e-09,4.56100762284174e-08,0.00139944873569532,2.45029690981724e-17
0.0008,0.00100008002133758,0.00100007001400176,0.00100008232110869,0.00259935999999233,0.0010000800213376,1.00073358289335e-08,2.2997711053227e-09,0.00159927997865475,1.58293517182884e-17
0.0009,0.00112510128038185,0.00112509002100315,0.00112510191867035,0.00292418999999143,0.00112510128038176,1.12593786926341e-08,6.38288502781414e-10,0.00179908871960959,8.28330459778925e-17
0.001,0.0012501250416771,0.00125011378111191,0.00125012096584653,0.00324899999999162,0.00125012504167687,1.12605651855953e-08,4.07583056563111e-09,0.00199887495831452,2.27248775352962e-16
0.0011,0.00137515130547355,0.00137514004411485,0.00137515094082475,0.00357378999999159,0.00137515130547323,1.12613587003717e-08,3.64648800738054e-10,0.00219863869451804,3.20490162186715e-16
0.0012,0.0015001800720216,0.00150016880845895,0.00150017739231183,0.0038985599999916,0.00150018007202117,1.12635626494176e-08,2.67970976766847e-09,0.00239837992797,4.32379826387219e-16
0.0013,0.00162521134157143,0.00162520007897336,0.00162520977689366,0.00422330999999159,0.00162521134157099,1.12625980677045e-08,1.56467776821038e-09,0.00259809865842017,4.38668198987635e-16
0.0014,0.00175024511437338,0.00175023384807786,0.00175024316157508,0.0045480399999916,0.001750245114373,1.1266295518687e-08,1.95279830630599e-09,0.00279779488561822,3.81639164714898e-16
0.0015,0.00187528139067777,0.00187527012528782,0.00187527951013896,0.0048727499999916,0.00187528139067753,1.12653899542181e-08,1.88053881321204e-09,0.00299746860931382,2.46764414457701e-16
