Time,Exact,Adams_S,Adams_WS,Adams_NA,ddends,Err_S,Err_WS,Err_NA,Err_ddends
0,0,-0,-0,-0,-0,0,0,0,0
0.01,0.012512541771042,0.0125,0.0124000000000001,0.0323999999999921,0.0125125417693536,1.25417710419937e-05,0.000112541771041898,0.0198874582289501,1.68839421610389e-12
0.02,0.0250503350066889,0.025025,0.0254702004320988,0.0646,0.0250503349795533,2.53350066889285e-05,0.000419865425409838,0.0395496649933111,2.71356062619965e-11
0.03,0.0376136334883792,0.03757525,0.0365745876461391,0.096599999999994,0.0376136334785576,3.83834883792289e-05,0.00103904584224018,0.0589863665116147,9.82165737628549e-12
0.04,0.0502026935480971,0.0501510025,0.0514507744072584,0.128399999999998,0.0502026931002962,5.16910480970537e-05,0.00124808085916135,0.078197306451901,4.47800893588202e-10
0.05,0.062817774094006,0.062752512525,0.06202220318754,0.159999999999996,0.0628177737371214,6.5261569006006e-05,0.000795570906466016,0.0971822259059902,3.56884646834921e-10
0.06,0.0754591366363399,0.07538003765025,0.0754144485517128,0.191399999999998,0.0754591364629211,7.909898608989e-05,4.46880846270703e-05,0.115940863363658,1.73418848725682e-10
0.07,0.0881270453135541,0.0880338380267525,0.0886255740408591,0.222599999999996,0.0881270416837594,9.3207286801622e-05,0.000498528727304937,0.134472954686442,3.62979471479896e-09
0.08,0.10082176691874,0.10071417640702,0.100208362454818,0.2536,0.100821759218445,0.000107590511719657,0.000613404463921358,0.15277823308126,7.7002944853799e-09
0.09,0.113543570926303,0.113434831432484,0.113925460945257,0.284399999999994,0.113543561982206,0.000108739493818108,0.000381890018954584,0.170856429073692,8.94409613039215e-09
0.1,0.126292729518912,0.126183217974538,0.126171980153987,0.315,0.126292722890271,0.000109511544374358,0.000120749364925288,0.188707270481088,6.62864055311907e-09
0.11,0.139069517614718,0.138958027806016,0.138890533365916,0.345399999999996,0.139069514857868,0.000111489808701543,0.000178984248801584,0.206330482385278,2.7568498039976e-09
0.12,0.151874212894844,0.151762977023467,0.152118842615102,0.375599999999998,0.15187420920653,0.000111235871377374,0.000244629720257683,0.223725787105155,3.68831415409332e-09
0.13,0.164707095831155,0.164593516021844,0.164465160132445,0.405599999999998,0.164707068389308,0.000113579809310982,0.000241935698710255,0.240892904168842,2.74418469892179e-08
0.14,0.177568449714307,0.177454177386879,0.177638994599376,0.435399999999998,0.177568383696299,0.000114272327427861,7.05448850690793e-05,0.257831550285691,6.60180083100759e-08
0.15,0.190458560682071,0.190343467585239,0.190473033451061,0.464999999999998,0.19045845331662,0.000115093096831331,1.44727689906088e-05,0.274541439317927,1.07365450696673e-07
0.16,0.203377717747953,0.203260800040065,0.203247393838962,0.494399999999998,0.203377575439393,0.000116917707887715,0.000130323908990759,0.291022282252046,1.42308559464288e-07
0.17,0.216326212830091,0.216208717473266,0.216413987438111,0.523599999999998,0.216326048253738,0.000117495356825092,8.77746080192587e-05,0.307273787169907,1.64576353683943e-07
0.18,0.229304340780453,0.229185363614921,0.229219373182986,0.552599999999998,0.229304169948774,0.000118977165531109,8.49675974668451e-05,0.323295659219546,1.70831678636407e-07
0.19,0.242312399414313,0.242192190973005,0.242292029267732,0.581399999999998,0.242312238713622,0.000120208441307612,2.03701465813222e-05,0.339087600585685,1.60700691087534e-07
0.2,0.255350689540042,0.255229527819444,0.255367792321541,0.609999999999999,0.255350552737401,0.000121161720598728,1.71027814989677e-05,0.354649310459956,1.36802641104161e-07
0.21,0.268419514989186,0.268296843588033,0.268345046553664,0.638399999999999,0.268419410209233,0.000122671401153185,7.44684355215575e-05,0.369980485010813,1.04779953047363e-07
0.22,0.281519182646845,0.281395465842472,0.281532248471792,0.666599999999999,0.281519109318236,0.000123716804373342,1.30658249464233e-05,0.385080817353154,7.33286091847418e-08
0.23,0.294650002482369,0.29452500909699,0.294616294284367,0.694599999999999,0.294649948253531,0.000124993385379801,3.3708198002802e-05,0.399949997517629,5.42288384197676e-08
0.24,0.307812287580351,0.307685950965684,0.307776042032041,0.722399999999999,0.307812204931067,0.000126336614667488,3.62455483098323e-05,0.414587712419648,8.2649284582903e-08
0.25,0.321006354171935,0.320878878980986,0.321004650458383,0.749999999999999,0.321006144604106,0.000127475190949244,1.70371355279197e-06,0.428993645828063,2.09567829811963e-07
0.26,0.334232521666443,0.334103661839165,0.334188886223519,0.777399999999999,0.334232113192624,0.000128859827278227,4.36354429237951e-05,0.443167478333556,4.08473819435429e-07
0.27,0.347491112683312,0.347360996566444,0.347475239180734,0.804599999999999,0.347490460996503,0.000130116116867918,1.58735025778678e-05,0.457108887316687,6.51686809016727e-07
0.28,0.360782453084359,0.360651052034169,0.360760086022677,0.831599999999999,0.360781538315626,0.000131401050190549,2.23670616819049e-05,0.47081754691564,9.14768733484284e-07
0.29,0.374106872006368,0.373974095463935,0.3740728184931,0.8584,0.374105695449874,0.000132776542432878,3.40535132682951e-05,0.484293127993632,1.17655649350956e-06
0.3,0.387464701894001,0.387330643598527,0.387448908421063,0.884999999999998,0.387463282699131,0.000134058295473527,1.57934729380638e-05,0.497535298105997,1.41919486956743e-06
0.31,0.400856278533044,0.400720845047527,0.400825046329888,0.911400000000003,0.400854650363278,0.000135433485517311,3.12322031563173e-05,0.510543721466958,1.62816976617686e-06
0.32,0.414281941083989,0.414145145028099,0.4142566447464,0.937599999999996,0.414280148742198,0.000136796055890454,2.52963375892978e-05,0.523318058916007,1.79234179137344e-06
0.33,0.427742032115945,0.427603882153047,0.427719186683006,0.963600000000004,0.427740128135772,0.000138149962898571,2.28454329391781e-05,0.535857967884059,1.9039801729126e-06
0.34,0.441236897640899,0.441097334216903,0.441206171106006,0.989399999999996,0.441234938843884,0.000139563423995681,3.07265348922225e-05,0.548163102359097,1.95879701497814e-06
0.35,0.454766887148314,0.454625937881075,0.454743514830471,1.015,0.454764931166414,0.000140949267239565,2.33723178434397e-05,0.56023311285169,1.95598190028123e-06
0.36,0.468332353640085,0.468189984086883,0.468304461506828,1.0404,0.468330455403246,0.000142369553202015,2.78921332572679e-05,0.572067646359911,1.89823683893753e-06
0.37,0.481933653665831,0.481789846388285,0.481905555927936,1.0656,0.481931861854262,0.000143807277546371,2.80977378954717e-05,0.583666346334171,1.79181156911845e-06
0.38,0.495571147358556,0.495425905913503,0.49554561307951,1.0906,0.495569500819344,0.000145241445053401,2.55342790458357e-05,0.595028852641442,1.64653921241875e-06
0.39,0.509245198470661,0.509098488215253,0.509215816143565,1.1154,0.509243722598374,0.000146710255407467,2.93823270958171e-05,0.60615480152934,1.47587228693791e-06
0.4,0.522956174410318,0.522807993398094,0.522929012643505,1.14,0.522954877491234,0.000148181012224025,2.71617668122781e-05,0.617043825589683,1.29691908357099e-06
0.41,0.536704446278213,0.536554777659907,0.536676345010248,1.1644,0.536703315797807,0.000149668618306342,2.81012679653747e-05,0.627695553721788,1.13048040628616e-06
0.42,0.550490388904658,0.550339211512699,0.550461108865764,1.1886,0.550489387817975,0.000151177391959467,2.92800388943526e-05,0.638109611095342,1.00108668321663e-06
0.43,0.56431438088707,0.564161688709985,0.564286378750217,1.2126,0.56431344385162,0.000152692177085689,2.80021368534999e-05,0.648285619112931,9.37035449899426e-07
0.44,0.578176804627834,0.578022575320729,0.578147180068287,1.2364,0.578175827102805,0.000154229307104736,2.96245595469147e-05,0.658223195372167,9.77525029255411e-07
0.45,0.592078046372542,0.59192226706864,0.592048713990779,1.26,0.592076905019454,0.000155779303901871,2.93323817627256e-05,0.667921953627459,1.14135308770802e-06
0.46,0.60601849624862,0.605861153042622,0.605989054950505,1.2834,0.60601710305347,0.000157343205998028,2.94412981153291e-05,0.677381503751381,1.39319515013447e-06
0.47,0.61999854830434,0.619839621627696,0.619968175299632,1.3066,0.619996849061129,0.000158926676643634,3.03730047083173e-05,0.686601451695662,1.69924321147263e-06
0.48,0.634018600548223,0.633858078130427,0.633988585749949,1.3296,0.634016570898705,0.000160522417796072,3.00147982743582e-05,0.695581399451779,2.02964951812046e-06
0.49,0.648079054988845,0.64791691890105,0.648048349276008,1.3524,0.648076696422477,0.000162136087794251,3.07057128364763e-05,0.704320945011158,2.35856636798815e-06
0.5,0.662180317675032,0.662016551553459,0.662149332567195,1.375,0.662177653488719,0.000163766121573095,3.09851078368339e-05,0.71281968232497,2.66418631322818e-06
0.51,0.676322798736472,0.676157387677982,0.676291732868286,1.3974,0.676319869953708,0.000165411058489884,3.10658681852427e-05,0.721077201263531,2.92878276353381e-06
0.52,0.690506912424722,0.690339838157828,0.690475227392541,1.4196,0.69050377367372,0.000167074266893552,3.16850321804285e-05,0.729093087575282,3.1387510012193e-06
0.53,0.704733077154638,0.704564324113497,0.704701297332056,1.4416,0.704729792505032,0.000168753041140501,3.17798225819566e-05,0.736866922845364,3.28464960563934e-06
0.54,0.719001715546215,0.718831266621779,0.718969548633171,1.46340000000001,0.718998354303919,0.000170448924435629,3.21669130437519e-05,0.744398284453791,3.36124229538548e-06
0.55,0.733313254466849,0.733141092121638,0.733280695097088,1.485,0.733309886926658,0.000172162345211224,3.25593697607651e-05,0.75168674553315,3.36754019070185e-06
0.56,0.747668125074025,0.74749423286447,0.747635370958488,1.50640000000001,0.747664818229525,0.000173892209555437,3.27541155370481e-05,0.758731874925981,3.30684450056129e-06
0.57,0.762066762858434,0.761891122771549,0.762033562196737,1.5276,0.762063576068795,0.000175640086884643,3.32006616966529e-05,0.765533237141565,3.18678963839858e-06
0.58,0.776509607687518,0.776332202404893,0.776476128487952,1.54860000000001,0.776506588300746,0.000177405282625553,3.34791995666439e-05,0.772090392312489,3.01938677205182e-06
0.59,0.790997103849464,0.790817915752428,0.790963300084267,1.5694,0.790994282781653,0.000179188097036542,3.38037651976819e-05,0.778402896150535,2.82106781079872e-06
0.6,0.805529700097627,0.805348710946905,0.80549550397459,1.59000000000001,0.805527087367793,0.000180989150721955,3.41961230367893e-05,0.78447029990238,2.61272983403948e-06
0.61,0.820107849695409,0.819925041706726,0.820073367193748,1.6104,0.820105429915442,0.000182807988683753,3.44825016612704e-05,0.79029215030459,2.41977996773279e-06
0.62,0.834732010461586,0.834547365182083,0.834697146219338,1.63060000000001,0.834729738280875,0.000184645279502793,3.48642422473011e-05,0.795867989538422,2.27218071080504e-06
0.63,0.849402644816086,0.849216143779034,0.849367434655098,1.6506,0.849400440320369,0.0001865010370522,3.5210160988175e-05,0.801197355183914,2.2044957168621e-06
0.64,0.864120219826238,0.863931844501826,0.864084674365193,1.67040000000001,0.864117955223366,0.000188375324411849,3.55454610451167e-05,0.806279780173771,2.26460287222618e-06
0.65,0.878885207253474,0.878694938655582,0.878849278388828,1.69,0.878882731790762,0.000190268597892285,3.59288646460953e-05,0.811114792746527,2.4754627123702e-06
0.66,0.893698083600508,0.893505902804154,0.893661813459792,1.70940000000001,0.893695289669509,0.000192180796354191,3.62701407157218e-05,0.815701916399499,2.79393099922309e-06
0.67,0.908559330158985,0.908365217920798,0.908522688793433,1.7286,0.908556151443263,0.000194112238186661,3.66413655514819e-05,0.820040669841018,3.17871572241835e-06
0.68,0.923469433057612,0.923273369927488,0.923432418189662,1.74760000000001,0.923465839695679,0.000196063130124435,3.70148679502691e-05,0.824130566942394,3.59336193322957e-06
0.69,0.938428883310771,0.938230849747635,0.938391507566616,1.7664,0.938424877010413,0.000198033563135969,3.73757441545219e-05,0.827971116689234,4.00630035757299e-06
0.7,0.953438176867619,0.953238153013146,0.953400415247281,1.78500000000001,0.953433785971121,0.00020002385447293,3.77616203386388e-05,0.831561823132386,4.39089649795221e-06
0.71,0.968497814661688,0.968295780536645,0.9684596786407,1.80340000000001,0.968493089161459,0.000202034125042938,3.81360209874559e-05,0.834902185338318,4.72550022867502e-06
