k,Method,Max_Error,RMSE
1,Adams_Start,0.155451219560739,0.0591359191446854
1,Adams_NoStart,0.155451219560739,0.0591359191446854
1,Adams_NewApp,8.19822877289297,2.83651107401977
1,ddends,0.00187093664048321,0.00084578902086001
2,Adams_Start,0.0819982292466026,0.0340129757461051
2,Adams_NoStart,0.0820161337256047,0.0340113601815936
2,Adams_NewApp,8.19819121039297,2.8360987588349
2,ddends,0.00187093664048321,0.00084578902086001
3,Adams_Start,0.0814296849129801,0.0337722814329906
3,Adams_NoStart,0.0814009621142449,0.03377536051522
3,Adams_NewApp,8.19823303330964,2.83612496162718
3,ddends,0.00187093664048321,0.00084578902086001
4,Adams_Start,0.0814427776925967,0.033802824345827
4,Adams_NoStart,0.0813961350822917,0.0338069004716994
4,Adams_NewApp,8.19823293955964,2.83612489054833
4,ddends,0.00187093664048321,0.00084578902086001
5,Adams_Start,0.0814596375964365,0.0339032176515732
5,Adams_NoStart,0.0813961008086065,0.0339067038006767
5,Adams_NewApp,8.19823293955964,2.83612488951434
5,ddends,0.00187093664048321,0.00084578902086001
6,Adams_Start,0.101318707538046,0.0342202543315219
6,Adams_NoStart,0.100497997892276,0.034213611560103
6,Adams_NewApp,8.19823293955961,2.83612488953892
6,ddends,0.00187093664048321,0.00084578902086001
7,Adams_Start,0.151224635123247,0.035232559765561
7,Adams_NoStart,0.150079747747447,0.0351799149666219
7,Adams_NewApp,8.19823293955963,2.83612488959026
7,ddends,0.00187093664048321,0.00084578902086001
8,Adams_Start,0.22296876935481,0.0384219328299652
8,Adams_NoStart,0.21592329504583,0.0382839688774459
8,Adams_NewApp,8.19823293955956,2.83612488976332
8,ddends,0.00187093664048321,0.00084578902086001
9,Adams_Start,0.411183995434771,0.0479789492181827
9,Adams_NoStart,0.385600791482026,0.048940526832026
9,Adams_NewApp,8.19823293955973,2.83612489036165
9,ddends,0.00187093664048321,0.00084578902086001
10,Adams_Start,0.792462955773009,0.0761543072964266
10,Adams_NoStart,0.745518811685016,0.0973535216104464
10,Adams_NewApp,8.19823293955968,2.83612489246947
10,ddends,0.00187093664048321,0.00084578902086001
11,Adams_Start,1.39131695762776,0.249474034567086
11,Adams_NoStart,4.76815532226233,1.51634979713371
11,Adams_NewApp,8.19823293955948,2.8361249000087
11,ddends,0.00187093664048321,0.00084578902086001
12,Adams_Start,255786714457.699,25339572020.8009
12,Adams_NoStart,561199341686852,56381243280305.1
12,Adams_NewApp,8.19823293955792,2.83612492730238
12,ddends,0.00187093664048321,0.00084578902086001
